2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Swayne,175.47299,-37.87426
Sylvester,175.24049,-37.72523
Taharoa,174.74152,-38.15166
Taharua,176.38696,-38.99597
Tahuroa,175.50843,-37.65677
Tairua,175.84703,-37.00157
Tamahere-Tauwhare,175.43669,-37.80557
Tapapa,175.90438,-38.00828
Tarawera,176.45876,-38.25611
Tatua,176.02426,-38.47365
Tauhara,176.0953,-38.67857
Taupiri Community,175.18979,-37.61592
Taupo Central,176.07793,-38.68608
Taupo East,176.11897,-38.68843
Te Akau,174.93589,-37.61428
Te Aroha,175.70859,-37.53737
Te Awamutu Central,175.31649,-38.01049
Te Awamutu East,175.32728,-38.00033
Te Awamutu South,175.32737,-38.0162
Te Awamutu West,175.3055,-38.00784
Te Kauwhata,175.13612,-37.40255
Te Kawa,175.22447,-38.11059
Te Kowhai,175.15771,-37.73486
Te Kuiti,175.16503,-38.33331
Te More,176.03166,-39.12879
Te Motu Island,174.80227,-38.10163
Te Pahu,175.1277,-37.92513
Te Poi,175.87308,-37.87151
Te Puru-Thornton Bay,175.53592,-37.07318
Te Rahu,175.33983,-37.96371
Te Rapa,175.23503,-37.74727
Te Rapa North,175.21345,-37.71993
Te Rerenga,175.59335,-36.77406
Te Rore,175.21551,-37.95271
Te Uku,174.92128,-37.89807
Temple View,175.22325,-37.81837
Tikitere,176.44534,-38.05802
Tirau,175.75763,-37.97713
Tiroa,175.52422,-38.53374
Tokaanu,175.7551,-38.97422
Tokanui,175.32197,-38.06949
Tokoroa Central,175.87364,-38.22019
Tongariro,176.04448,-38.94762
Tuakau,174.94736,-37.26151
Turangi,175.80054,-38.99385
Turua,175.54353,-37.2382
University,175.31346,-37.7871
Utuhina,176.23217,-38.1425
Victoria,176.25565,-38.14351
Waerenga,175.24356,-37.41422
Waharoa,175.75515,-37.76023
Waihi,175.84639,-37.38945
Waihou-Walton,175.71618,-37.67073
Waikato Western Hills,175.06929,-37.67387
Waipa Valley,175.29527,-38.3911
Waipahihi,176.09926,-38.71041
Wairakei-Aratiatia,176.12771,-38.63651
Waitahanui,176.08582,-38.77324
Waitoa,175.62863,-37.61044
Waiwhero,176.15855,-38.1442
Wawa,175.91405,-38.29649
Western Heights,176.21179,-38.12666
Whaka,176.25126,-38.16383
Whangamata,175.86623,-37.20923
Wharewaka,176.0787,-38.73025
Whatawhata,175.17539,-37.79079
Whitianga,175.68597,-36.81268
Whitikahu,175.31147,-37.58165
